	v80:v1	v80:v2	v80:v3	v80:v4	v80:v5	v80:v6	v80:v7	v80:v8	v80:v9	v80:v10	v80:v11	v80:v12	v80:v13	v80:v14	v80:v15	v80:v16	v80:v17	v80:v18	v80:v19	v80:v20	v80:v21	v80:v22	v80:v23	v80:v24	v80:v25	v80:v26	v80:v27	v80:v28	v80:v29	v80:v30	v80:v31	v80:v32	v80:v33	v80:v34	v80:v35	v80:v36	v80:v37	v80:v38	v80:v39	v80:v40	v80:v41	v80:v42	v80:v43	v80:v44	v80:v45	v80:v46	v80:v47	v80:v48	v80:v49	v80:v50	v80:v51	v80:v52	v80:v53	v80:v54	v80:v55	v80:v56	v80:v57	v80:v58	v80:v59	v80:v60	v80:v61	v80:v62	v80:v63	v80:v64	v80:v65	v80:v66	v80:v67	v80:v68	v80:v69	v80:v70	v80:v71	v80:v72	v80:v73	v80:v74	v80:v75	v80:v76	v80:v77	v80:v78	v80:_cons	
v80:v11	-9.6073282	 7.2859825	-17.279574	 247.45915	-94.693526	 135.16858	 792.92813	-288.08151	 269.69557	-1781.6812	 634.86824	-538.51902	-5.9038276	-5.3608361	-7.4668627	 6.0475233	 6.1286431	  6.592399	 19.059046	 16.675313	 25.452982	-9.7548794	-8.6531679	-12.856691	 .67044778	-1.7430919	  2.519559	 2.9784495	 6.3719349	-.54093659	 1.1774578	-.34401586	-2.4707392	-5.4091828	-4.2854239	-.40729312	 3.9873973	 2.9247345	 6.2044581	  7.956457	 9.3101846	 4.6253167	-34.697683	-34.645883	-38.095049	 20.169757	 19.698091	 24.533862	 3.2734425	-10.219488	 3.2006399	  -40.2628	 13.088597	-1.3510166	-12.276352	-8.3444356	 3.4482391	 11.000643	 14.045335	-6.0549031	-1.4858035	  1.742952	-2.5083788	 1.4774242	-.32882509	 2.6965914	-1.4315232	-3.0967382	-.41437675	-.43842137	 2.7320468	-1.5022946	 -.0104675	 .02114515	-.00572187	 .04291456	-.01577893	-.03969092	 31.791989	
v80:v12	 3.4338827	-4.4070195	 14.733498	-175.76803	 66.605174	-96.703833	-700.71606	 251.39039	 -316.8507	 1501.9614	-538.51902	 552.17564	 5.5115974	 5.1644645	  6.986637	-4.6010372	-4.9054138	-4.7253111	-15.588381	-14.063476	-20.483278	 5.6578789	  5.142186	 7.2278136	-1.1670961	 1.0978496	-3.0482818	-2.1590046	 -5.190038	 .12363208	-4.2925975	-1.8501421	 4.3508557	 8.2060399	  5.941372	 -.7596111	-2.2274092	-1.0509138	-4.9039561	-6.9062428	-8.0362806	-3.8488146	 26.588168	 26.883813	 29.260098	-15.681979	 -15.90648	 -18.50444	 5.4364441	 6.0367559	-1.8286268	 31.014367	-8.2878582	 .56335247	 9.7201274	 6.1635676	 .12705511	 -10.25347	-9.9103291	 2.3356988	 1.9663246	-1.4348127	  3.384285	 -3.209119	-.76339612	-5.4026315	 2.0712373	  2.844583	 .94772693	 .10939511	-2.4485634	 .90051258	  .0436448	-.01376898	-.05383578	-.00882455	 .01517227	 .02951186	-34.575182	
v80:v13	-.67621087	   .082684	-.51435125	 6.1973392	-2.0918857	 2.8848793	-34.454068	 12.225659	 -14.08755	 17.338367	-5.9038276	 5.5115974	  5.508584	 4.2708385	 7.9619369	-2.4651842	-2.1402765	-2.9422578	-9.3275871	-8.1920573	-12.938881	 1.0893894	 .86058449	 1.7916349	 .58273944	  .1150525	  .4670871	-.47195899	-.04085694	  .2757824	-.12184615	-.14252055	-.38634711	 .06080447	 .08903913	-.26440973	 .17694523	 .17629261	-.15270986	-.21815527	-.14058566	-.10459637	  .4572229	 .43691227	 .73906325	-.46543674	-.51089802	-.52909917	 .39716247	-.16210829	 .06712754	 -.6530615	 .39332823	-.10933737	-.23319267	-.11538048	 .14677418	-.05285767	-.17088119	-.05498998	-.00684747	 .07642361	 .03142679	-.35713507	 -.0216099	-.64829426	  .1735596	-.06291084	 .26408727	 .19535945	-.00641061	 .29405543	 .00405123	-.00354809	 .00861173	-.00911407	 .00046775	 .00714809	 7.4512192	
v80:v14	-.75567535	 .01889937	-.88866156	 4.8241487	-1.6595863	  2.509066	-28.318314	 10.155644	-11.547311	 15.780817	-5.3608361	 5.1644645	 4.2708385	 3.9999311	 5.7837308	-2.0565406	-2.3271273	-2.0784771	-6.9882085	-6.1304146	-9.7521723	 .88720865	 .70360016	 1.4353763	  .1602706	-.12846472	 .47289776	-.07415129	 .16229051	 .10604379	-.11572604	-.15000565	-.33125782	 .08461095	 .13752598	-.16660677	-.06107445	  .0438047	-.42933226	 .06218323	-.00449914	 .35181595	 .46581691	 .54174209	 .44283703	-.47212488	-.56744284	-.35872498	 .32468068	-.03482735	 .01307003	-.48873742	 .36634836	 -.1187542	-.16050498	-.18971199	 .14812356	-.01823218	-.13272707	-.05421539	-.00453246	 .03794727	 .02395013	-.37742453	-.02807354	-.64745594	 .19276959	-.03067572	 .28840697	 .17108877	 .01144867	 .27867894	 .00173542	-.00323639	  .0082884	-.00766454	 .00044966	 .00556005	 5.5837313	
v80:v15	-.98021554	 .22129743	-.61504103	 9.3674481	-3.3486675	 3.9018509	-49.292554	 17.430239	-20.016181	 22.180056	-7.4668627	  6.986637	 7.9619369	 5.7837308	   12.5182	-3.1809805	-2.5020749	-4.6144996	-14.449528	-12.726451	-20.003047	 1.6133482	 1.3052831	 2.6783065	 .40015132	-.22345338	 .43711697	-.24073542	 .28959675	 .53954185	-.12277641	-.09853645	-.45715223	 .02385121	  .0517857	-.40209186	-.22828632	-.17841933	-.55699155	 .04513292	 .12740322	-.14706021	 1.9513273	 1.7845076	 2.8908109	 -1.718521	-1.6695611	-2.0795701	 .56834385	-.41924186	 .14690493	-1.0919831	  .5812878	-.16777359	-.38707464	-.05422846	 .18102028	-.10289068	-.19927915	-.05448109	 .04722608	 .20739039	 .14615846	-.49861646	-.12334111	-.89346928	 .19623077	-.11474855	 .25432935	 .23335881	-.02934668	  .3332116	 .00469616	 -.0031132	 .01039273	 -.0123898	 .00061061	 .01137148	 11.540873	
v80:v16	 .43391121	 .11775332	 .78040127	 3.7624175	-1.4968882	 .58357035	 1.9710656	-.54385702	 .09998174	-18.809313	 6.0475233	-4.6010372	-2.4651842	-2.0565406	-3.1809805	 15.030308	 12.930957	 20.345857	 -6.412724	-5.9236068	-7.8532518	-4.1851609	-3.4594459	-6.3579343	-.34269472	 .09493442	-.40625806	 .84185011	-.47469654	  1.357441	-.23545737	 .54982193	-.85735429	-.28063688	-.13779795	-.12324354	 .18352906	 .17639484	 .58730285	 .95238445	 1.0459786	 .15537188	-3.2521206	-3.3293598	-2.8670202	 1.9617447	 1.9574785	 2.0211263	-.06256736	-.16327325	 .06128561	  1.020725	-.15921074	 .01789475	-.88765233	 .05550094	-.05667081	-.15347957	 .31698711	 .03136261	-.14795976	-.12701837	-.14032625	 1.3073714	 .84743263	 1.7744137	-1.0171895	-.56473739	 -1.399877	-.90216826	-.18518309	-1.2749442	-.00336604	 .00502902	-.00731307	 .00810191	 .00147337	-.00008906	-.35221898	
v80:v17	 .26493986	 .08759504	 .66606711	 4.4048652	-1.4715565	 .83856057	 1.9620466	-.74594656	 .50378248	-18.814515	 6.1286431	-4.9054138	-2.1402765	-2.3271273	-2.5020749	 12.930957	 12.328909	 16.705441	-5.6615603	-5.7752017	-6.4720404	-3.3282292	  -2.74357	-5.1391848	 .15487116	 .46118588	-.33676346	  .0790292	-1.0403955	 1.4639946	 .05509378	 .70964603	-.88913806	-.29197181	-.08967534	-.24714923	 .26168338	 .09864717	 .69585545	 .54798105	 .90405541	-.31919771	-2.5561151	-2.7678535	-1.9819066	 1.6068816	 1.6443353	 1.4781576	-.13119746	-.17935491	  .0290171	 1.0718961	-.18913177	 .03136634	-.83118784	  .1876976	-.08991042	-.12785101	 .24272639	 .04547215	-.11105273	-.15610037	-.08029508	 1.3118087	 .83038847	 1.8024783	-1.0708454	-.51765997	-1.4747389	-.89314603	-.16779794	-1.2808289	  .0011971	 .00087358	-.00627249	 .00668397	 .00175823	-.00116468	-.34339513	
v80:v18	 .46475619	 -.0041277	 .73070181	 3.4849054	-1.2612772	 .56339632	 2.4698612	-.62003045	-.14212937	-21.038381	  6.592399	-4.7253111	-2.9422578	-2.0784771	-4.6144996	 20.345857	 16.705441	 29.688196	-8.6369921	-7.6512923	-11.646811	 -6.348341	-5.2886764	-9.5875223	-.12887932	 .35865629	-.48363979	  .3325791	 -.9941636	 1.3721894	 .12563445	 .73771887	-.77879653	 -.3509155	-.06666194	-.14805848	 .66871855	 .62262039	 .71618453	 .71415681	 .94821057	 .43804449	-4.4729166	-4.6108388	-4.3373482	 2.8948205	 2.8531942	 3.1099788	 .00884419	-.16417552	 .07241973	 1.2668966	-.24963449	 .04629972	 -1.144533	 -.0594616	-.07439367	-.17418664	 .43976447	 .04224019	-.29042478	-.16599531	-.32266409	 1.5546709	 1.1309822	 2.1120516	-1.1075558	-.78422546	 -1.519473	-1.0590009	-.23898134	-1.4872722	-.00985474	 .00960261	-.01112921	 .01378695	 .00132374	 .00348934	-.49626865	
v80:v19	 1.3272996	-.66551241	 1.4783555	-23.164478	 9.2220445	-11.260396	 142.38798	-51.002221	 57.364297	-58.224059	 19.059046	-15.588381	-9.3275871	-6.9882085	-14.449528	 -6.412724	-5.6615603	-8.6369921	 58.125038	 51.222377	 79.302483	-15.452929	-13.468717	-21.472221	-1.1105184	-1.6586314	-.35798223	-1.1370528	 1.2368241	-2.5530881	  .9073524	-1.1991584	 1.7153611	 1.1759829	 1.6098148	 .94079878	 .95585006	 .92337845	  1.092219	-2.0228978	-2.3276788	-.78121589	-2.7901596	 -2.409053	-5.6197088	 2.6743579	 2.9173496	  3.081975	-.64379246	  .8618426	-.16795262	-.19217028	 -1.533419	 .39885531	 2.3144172	 .97851656	-.63739887	-.21666023	 .54039719	 .12731177	 .72409639	-.08757047	 .27927255	 .07692103	-1.1407389	  .4892115	 .88169463	 1.2538874	 1.2700777	  .2434906	-.00029409	 .44292125	-.00371075	 .01075935	 .00212543	-.00858614	-.00006583	-.01765929	-37.888738	
v80:v20	 1.1568115	-.55648612	 1.2863779	-21.867561	 8.5932244	-10.672308	 128.79981	-45.901863	 51.959668	-51.421794	 16.675313	-14.063476	-8.1920573	-6.1304146	-12.726451	-5.9236068	-5.7752017	-7.6512923	 51.222377	 46.386206	 68.876034	-13.258072	-12.104298	-17.916307	-1.0405676	 -1.520276	-.29845896	-.49043385	 1.6000901	-2.3716087	 .31952036	-1.5546344	 1.6062866	 1.0675457	 1.4577302	 .83153905	 .82379954	 .80921893	  .9780365	-1.7603984	 -2.182077	 -.7087535	 -2.398623	-1.8863522	-4.8351118	 2.2750415	 2.4583132	 2.5488042	  -.510073	 .78979622	-.16336405	-.31169805	-1.4417965	 .34402283	 2.1931663	 .87714802	-.58791595	-.15754967	 .47959653	 .13029236	 .62633907	-.09740198	 .26208269	 .06665895	-1.0411995	 .48566699	 .97765242	  1.114332	 1.3557778	  .3208297	 .04074685	 .55442355	-.00410413	 .01493603	-.00158686	-.00805727	 .00016548	-.01396633	-33.782571	
